lsoa_code,n_oas,population_density,population_density_median,population_density_min,population_density_max,population_density_sd
E01001805,0,NA,NA,NA,NA,NA
E01001806,0,NA,NA,NA,NA,NA
E01001807,0,NA,NA,NA,NA,NA
E01001808,0,NA,NA,NA,NA,NA
E01001809,0,NA,NA,NA,NA,NA
E01001811,0,NA,NA,NA,NA,NA
E01001812,0,NA,NA,NA,NA,NA
E01001813,0,NA,NA,NA,NA,NA
E01001814,0,NA,NA,NA,NA,NA
E01001815,0,NA,NA,NA,NA,NA
E01001816,0,NA,NA,NA,NA,NA
E01001819,0,NA,NA,NA,NA,NA
E01001820,0,NA,NA,NA,NA,NA
E01001821,0,NA,NA,NA,NA,NA
E01001822,0,NA,NA,NA,NA,NA
E01001823,0,NA,NA,NA,NA,NA
E01001824,0,NA,NA,NA,NA,NA
E01001825,0,NA,NA,NA,NA,NA
E01001826,0,NA,NA,NA,NA,NA
E01001827,0,NA,NA,NA,NA,NA
E01001828,0,NA,NA,NA,NA,NA
E01001829,0,NA,NA,NA,NA,NA
E01001830,0,NA,NA,NA,NA,NA
E01001831,0,NA,NA,NA,NA,NA
E01001832,0,NA,NA,NA,NA,NA
E01001833,0,NA,NA,NA,NA,NA
E01001834,0,NA,NA,NA,NA,NA
E01001835,0,NA,NA,NA,NA,NA
E01001836,0,NA,NA,NA,NA,NA
E01001837,0,NA,NA,NA,NA,NA
E01001838,0,NA,NA,NA,NA,NA
E01001839,0,NA,NA,NA,NA,NA
E01001840,0,NA,NA,NA,NA,NA
E01001841,0,NA,NA,NA,NA,NA
E01001842,0,NA,NA,NA,NA,NA
E01001843,0,NA,NA,NA,NA,NA
E01001844,0,NA,NA,NA,NA,NA
E01001845,0,NA,NA,NA,NA,NA
E01001846,0,NA,NA,NA,NA,NA
E01001847,0,NA,NA,NA,NA,NA
E01001848,0,NA,NA,NA,NA,NA
E01001849,0,NA,NA,NA,NA,NA
E01001850,0,NA,NA,NA,NA,NA
E01001851,0,NA,NA,NA,NA,NA
E01001852,0,NA,NA,NA,NA,NA
E01001853,0,NA,NA,NA,NA,NA
E01001854,0,NA,NA,NA,NA,NA
E01001855,0,NA,NA,NA,NA,NA
E01001856,0,NA,NA,NA,NA,NA
E01001857,0,NA,NA,NA,NA,NA
E01001858,0,NA,NA,NA,NA,NA
E01001859,0,NA,NA,NA,NA,NA
E01001860,0,NA,NA,NA,NA,NA
E01001861,0,NA,NA,NA,NA,NA
E01001862,0,NA,NA,NA,NA,NA
E01001863,0,NA,NA,NA,NA,NA
E01001864,0,NA,NA,NA,NA,NA
E01001865,0,NA,NA,NA,NA,NA
E01001866,0,NA,NA,NA,NA,NA
E01001867,0,NA,NA,NA,NA,NA
E01001868,0,NA,NA,NA,NA,NA
E01001869,0,NA,NA,NA,NA,NA
E01001870,0,NA,NA,NA,NA,NA
E01001871,0,NA,NA,NA,NA,NA
E01001872,0,NA,NA,NA,NA,NA
E01001873,0,NA,NA,NA,NA,NA
E01001874,0,NA,NA,NA,NA,NA
E01001875,0,NA,NA,NA,NA,NA
E01001876,0,NA,NA,NA,NA,NA
E01001877,0,NA,NA,NA,NA,NA
E01001878,0,NA,NA,NA,NA,NA
E01001879,0,NA,NA,NA,NA,NA
E01001880,0,NA,NA,NA,NA,NA
E01001881,0,NA,NA,NA,NA,NA
E01001882,0,NA,NA,NA,NA,NA
E01001883,0,NA,NA,NA,NA,NA
E01001884,0,NA,NA,NA,NA,NA
E01001885,0,NA,NA,NA,NA,NA
E01001886,0,NA,NA,NA,NA,NA
E01001887,0,NA,NA,NA,NA,NA
E01001888,0,NA,NA,NA,NA,NA
E01001889,0,NA,NA,NA,NA,NA
E01001890,0,NA,NA,NA,NA,NA
E01001891,0,NA,NA,NA,NA,NA
E01001892,0,NA,NA,NA,NA,NA
E01001893,0,NA,NA,NA,NA,NA
E01001894,0,NA,NA,NA,NA,NA
E01001895,0,NA,NA,NA,NA,NA
E01001896,0,NA,NA,NA,NA,NA
E01001897,0,NA,NA,NA,NA,NA
E01001898,0,NA,NA,NA,NA,NA
E01001899,0,NA,NA,NA,NA,NA
E01001900,0,NA,NA,NA,NA,NA
E01001901,0,NA,NA,NA,NA,NA
E01001902,0,NA,NA,NA,NA,NA
E01001903,0,NA,NA,NA,NA,NA
E01001904,0,NA,NA,NA,NA,NA
E01001905,0,NA,NA,NA,NA,NA
E01001906,0,NA,NA,NA,NA,NA
E01001907,0,NA,NA,NA,NA,NA
E01001908,0,NA,NA,NA,NA,NA
E01001909,0,NA,NA,NA,NA,NA
E01001910,0,NA,NA,NA,NA,NA
E01001911,0,NA,NA,NA,NA,NA
E01001912,0,NA,NA,NA,NA,NA
E01001913,0,NA,NA,NA,NA,NA
E01001914,0,NA,NA,NA,NA,NA
E01001915,0,NA,NA,NA,NA,NA
E01001916,0,NA,NA,NA,NA,NA
