lsoa_code,borough,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,imd_score,imd_quintile,status,timestamp
E01000865,Camden,100,17.86901855,13.0645752,16.626894,0.0,80.87768555,5.107116699,27.65045166,13.236,Q1_Least,completed,2025-08-09T19:41:47.251088
E01000871,Camden,100,18.82501221,15.39611816,16.66194725,0.0,72.61352539,5.899047852,27.8137207,14.237,Q1_Least,completed,2025-08-09T19:56:59.858292
E01000873,Camden,100,21.36376953,17.48352051,15.41815853,0.0,70.20874023,11.77062988,25.77056885,8.615,Q1_Least,completed,2025-08-09T19:57:52.668690
E01000874,Camden,100,18.18408203,15.64941406,13.5015831,0.0,55.15136719,6.994628906,25.61187744,4.907,Q1_Least,completed,2025-08-09T19:58:36.888900
E01000877,Camden,100,18.07922363,14.79492188,13.90262508,0.0,56.28662109,6.716918945,26.04064941,11.158,Q1_Least,completed,2025-08-09T19:59:16.463926
E01000878,Camden,100,16.22955322,9.353637695,16.45498466,0.0,67.72460938,2.641296387,26.27258301,5.647,Q1_Least,completed,2025-08-09T20:00:03.248389
E01000879,Camden,80,27.67715454,24.22485352,17.49303436,0.0,88.51318359,17.89398193,35.91918945,5.877,Q1_Least,completed,2025-08-09T20:36:12.691018
E01000880,Camden,80,15.84854126,9.375,16.12402534,0.0,61.35864258,1.943969727,24.1104126,6.105,Q1_Least,completed,2025-08-09T20:40:47.130189
E01000881,Camden,80,28.60664368,26.11083984,22.75884819,0.0,85.79711914,4.890441895,48.01635742,13.429,Q1_Least,completed,2025-08-09T20:41:45.977319
E01000883,Camden,80,11.01402283,0.601196289,17.36455345,0.0,71.47827148,0.0,16.32080078,9.536,Q1_Least,completed,2025-08-09T20:42:57.049510
E01000895,Camden,100,22.3963623,22.09777832,16.77402878,0.0,57.82470703,5.964660645,33.24584961,8.367,Q1_Least,completed,2025-08-09T19:38:33.702059
E01000896,Camden,100,27.70080566,24.9206543,21.86750221,0.604248047,93.49365234,8.633422852,41.07208252,5.734,Q1_Least,completed,2025-08-09T19:39:57.675314
E01000912,Camden,100,38.59564209,38.52539063,24.19951248,0.006103516,94.42749023,17.93518066,55.21697998,22.316,Q3,completed,2025-08-09T19:42:27.063140
E01000915,Camden,100,13.26422119,15.234375,8.540571213,0.0,29.38232422,5.110168457,19.25506592,23.058,Q3,completed,2025-08-09T20:16:40.887363
E01000919,Camden,100,5.297363281,0.833129883,7.933811665,0.0,33.203125,0.0,9.101867676,21.741,Q3,completed,2025-08-09T20:18:29.707952
E01000922,Camden,80,7.728042603,2.80456543,10.25261307,0.0,44.40917969,0.152587891,12.20550537,21.717,Q3,completed,2025-08-09T20:35:36.553690
E01000929,Camden,80,24.38453674,24.31335449,14.90096664,0.0,48.19946289,10.39581299,37.5793457,25.374,Q3,completed,2025-08-09T20:36:47.643420
E01000930,Camden,100,9.601135254,0.408935547,13.19237423,0.0,48.77319336,0.035095215,18.98956299,30.755,Q4,completed,2025-08-09T19:44:22.438061
E01000937,Camden,100,17.94592285,17.73071289,12.41952229,0.0,53.84521484,8.728027344,23.25592041,14.324,Q1_Least,completed,2025-08-09T19:54:31.850872
E01000949,Camden,100,15.22692871,14.6697998,11.14849567,0.0,39.10522461,5.534362793,24.9206543,19.618,Q2,completed,2025-08-09T19:33:07.149054
E01000960,Camden,100,8.358764648,0.073242188,17.89107323,0.0,72.21679688,0.0,4.989624023,16.477,Q2,completed,2025-08-09T19:36:15.326565
E01000969,Camden,80,10.13130188,5.975341797,11.05481052,0.0,38.43994141,1.675415039,14.91394043,6.278,Q1_Least,completed,2025-08-09T20:35:57.325702
E01001583,Greenwich,100,15.67956543,12.33520508,13.80564785,0.0,60.01586914,5.02166748,24.22790527,13.467,Q1_Least,completed,2025-08-09T19:32:45.304601
E01001585,Greenwich,80,20.20751953,19.28100586,13.93241596,0.079345703,49.28588867,8.227539063,29.7744751,12.942,Q1_Least,completed,2025-08-09T20:43:42.966572
E01001586,Greenwich,100,26.24456787,26.68151855,11.14185143,1.397705078,52.45361328,18.26324463,35.20812988,24.143,Q3,completed,2025-08-09T19:36:55.125334
E01001595,Greenwich,100,19.92193604,19.00634766,11.61851978,0.274658203,62.43896484,12.7532959,23.60839844,23.247,Q3,completed,2025-08-09T19:39:13.253566
E01001596,Greenwich,100,12.43139648,7.971191406,13.44488907,0.823974609,81.51245117,4.792785645,13.88092041,9.357,Q1_Least,completed,2025-08-09T19:56:41.294742
E01001608,Greenwich,80,9.822387695,9.051513672,6.94609499,0.018310547,37.109375,6.239318848,11.89422607,14.25,Q1_Least,completed,2025-08-09T20:39:57.825525
E01001609,Greenwich,100,11.0413208,3.3203125,17.04259491,0.0,66.70532227,0.682067871,11.17858887,21.984,Q3,completed,2025-08-09T19:40:43.959163
E01001631,Greenwich,100,7.81072998,5.187988281,7.400853634,0.054931641,35.24780273,2.062988281,10.49041748,34.131,Q5_Most,completed,2025-08-09T19:37:57.921685
E01001640,Greenwich,100,3.850280762,0.87890625,6.055476665,0.0,26.01928711,0.028991699,3.910827637,30.555,Q4,completed,2025-08-09T19:37:19.191732
E01001645,Greenwich,100,31.81121826,30.2154541,16.75695038,1.434326172,61.05957031,16.81671143,48.90136719,27.85,Q4,completed,2025-08-09T19:39:30.226069
E01001648,Greenwich,100,21.23773193,19.59838867,11.45906544,0.634765625,51.51367188,12.90435791,28.39050293,19.236,Q2,completed,2025-08-09T19:29:48.691406
E01001650,Greenwich,100,12.8104248,10.92529297,10.83045673,0.140380859,50.17089844,4.139709473,19.67926025,31.966,Q4,completed,2025-08-09T19:41:19.430657
E01001660,Greenwich,100,30.00811768,31.00585938,15.4003315,0.183105469,86.38916016,21.01593018,39.46838379,33.571,Q4,completed,2025-08-09T19:43:01.579335
E01001666,Greenwich,100,6.608703613,4.022216797,7.417231083,0.0,28.08227539,0.549316406,10.20812988,25.344,Q3,completed,2025-08-09T20:14:57.276691
E01001705,Greenwich,100,7.992614746,4.437255859,9.603225708,0.0,50.86669922,1.406860352,12.14141846,32.594,Q4,completed,2025-08-09T19:56:19.112422
E01001710,Greenwich,100,10.71307373,8.435058594,9.700984955,0.0,46.08154297,2.597045898,17.19360352,33.511,Q4,completed,2025-08-09T19:57:35.630362
